temp,usages,datetime
99.31964,0.845,2020-08-10 19:00:00
100.61924,0.8274999999999999,2020-08-10 20:00:00
101.6114,0.8025,2020-08-10 21:00:00
101.30900000000001,0.79,2020-08-10 22:00:00
99.09014,0.7775000000000001,2020-08-10 23:00:00
96.09656000000001,0.76,2020-08-11 00:00:00
93.03836000000001,0.7525,2020-08-11 01:00:00
90.10094000000001,0.745,2020-08-11 02:00:00
87.78776,0.735,2020-08-11 03:00:00
85.70660000000001,0.7275,2020-08-11 04:00:00
84.33176,0.7275,2020-08-11 05:00:00
82.75442000000001,0.355,2020-08-11 06:00:00
81.16394,0.0225,2020-08-11 07:00:00
80.94074,0.0275,2020-08-11 08:00:00
80.51071999999999,0.0225,2020-08-11 09:00:00
80.29436000000001,0.27749999999999997,2020-08-11 10:00:00
79.2608,0.8274999999999999,2020-08-11 11:00:00
79.85048,0.8474999999999999,2020-08-11 12:00:00
82.56146000000001,0.2125,2020-08-11 13:00:00
86.22878,0.265,2020-08-11 14:00:00
88.54862,0.8875,2020-08-11 15:00:00
91.74289999999999,0.89,2020-08-11 16:00:00
94.66159999999999,0.8875,2020-08-11 17:00:00
98.7629,0.8825000000000001,2020-08-11 18:00:00
101.6222,0.8574999999999999,2020-08-11 19:00:00
102.0002,0.8374999999999999,2020-08-11 20:00:00
100.79816000000001,0.8225,2020-08-11 21:00:00
101.83046,0.8,2020-08-11 22:00:00
101.07014000000001,0.785,2020-08-11 23:00:00
98.07656,0.7725,2020-08-12 00:00:00
95.01836,0.755,2020-08-12 01:00:00
92.07014000000001,0.7475,2020-08-12 02:00:00
89.08735999999999,0.745,2020-08-12 03:00:00
86.71856,0.435,2020-08-12 04:00:00
85.298,0.3825,2020-08-12 05:00:00
83.66036,0.7275,2020-08-12 06:00:00
82.36076,0.1775,2020-08-12 07:00:00
81.34880000000001,0.0225,2020-08-12 08:00:00
80.38076000000001,0.16,2020-08-12 09:00:00
79.37780000000001,0.19499999999999998,2020-08-12 10:00:00
78.99080000000001,0.7474999999999999,2020-08-12 11:00:00
79.68596,0.8574999999999999,2020-08-12 12:00:00
81.67424,0.875,2020-08-12 13:00:00
85.47404,0.895,2020-08-12 14:00:00
89.63185999999999,0.8925000000000001,2020-08-12 15:00:00
94.23266000000001,0.9025000000000001,2020-08-12 16:00:00
96.68804,0.895,2020-08-12 17:00:00
99.49226,0.88,2020-08-12 18:00:00
101.642,0.8825000000000001,2020-08-12 19:00:00
103.25984,0.8625,2020-08-12 20:00:00
103.3088,0.8274999999999999,2020-08-12 21:00:00
102.34076,0.805,2020-08-12 22:00:00
101.30900000000001,0.7925,2020-08-12 23:00:00
99.09014,0.78,2020-08-13 00:00:00
96.09656000000001,0.76,2020-08-13 01:00:00
93.04736,0.7475,2020-08-13 02:00:00
90.66056,0.745,2020-08-13 03:00:00
88.11914,0.735,2020-08-13 04:00:00
85.69579999999999,0.7275,2020-08-13 05:00:00
83.66036,0.3575,2020-08-13 06:00:00
82.36076,0.02,2020-08-13 07:00:00
81.34880000000001,0.025,2020-08-13 08:00:00
80.38076000000001,0.48250000000000004,2020-08-13 09:00:00
79.37780000000001,0.8474999999999999,2020-08-13 10:00:00
78.98,0.8875,2020-08-13 11:00:00
79.5128,0.88,2020-08-13 12:00:00
81.90986000000001,0.895,2020-08-13 13:00:00
84.93224000000001,0.8975,2020-08-13 14:00:00
89.7827,0.9,2020-08-13 15:00:00
93.90343999999999,0.895,2020-08-13 16:00:00
96.97243999999999,0.8975,2020-08-13 17:00:00
100.55066000000001,0.8875,2020-08-13 18:00:00
101.35759999999999,0.8574999999999999,2020-08-13 19:00:00
102.18164,0.8374999999999999,2020-08-13 20:00:00
102.36055999999999,0.8175,2020-08-13 21:00:00
102.55964,0.805,2020-08-13 22:00:00
101.07014000000001,0.795,2020-08-13 23:00:00
98.07656,0.77,2020-08-14 00:00:00
95.02736,0.76,2020-08-14 01:00:00
92.64956000000001,0.75,2020-08-14 02:00:00
90.66056,0.735,2020-08-14 03:00:00
88.11914,0.7275,2020-08-14 04:00:00
85.69579999999999,0.73,2020-08-14 05:00:00
83.66036,0.3525,2020-08-14 06:00:00
82.35176,0.0225,2020-08-14 07:00:00
80.77856,0.72,2020-08-14 08:00:00
79.37780000000001,0.7675000000000001,2020-08-14 09:00:00
78.971,0.8325,2020-08-14 10:00:00
78.43136000000001,0.85,2020-08-14 11:00:00
79.35944,0.895,2020-08-14 12:00:00
81.94046,0.9075,2020-08-14 13:00:00
86.84546,0.935,2020-08-14 14:00:00
91.60105999999999,0.9524999999999999,2020-08-14 15:00:00
95.55206,0.92,2020-08-14 16:00:00
98.95244,0.915,2020-08-14 17:00:00
102.54146,0.905,2020-08-14 18:00:00
104.0306,0.8775,2020-08-14 19:00:00
105.92204,0.8474999999999999,2020-08-14 20:00:00
106.36880000000001,0.825,2020-08-14 21:00:00
105.38096,0.8125,2020-08-14 22:00:00
103.11656,0.7925,2020-08-14 23:00:00
100.04756,0.775,2020-08-15 00:00:00
96.43874000000001,0.765,2020-08-15 01:00:00
93.71876,0.7424999999999999,2020-08-15 02:00:00
91.05836000000001,0.7424999999999999,2020-08-15 03:00:00
88.11914,0.7375,2020-08-15 04:00:00
85.69579999999999,0.725,2020-08-15 05:00:00
83.66036,0.7275,2020-08-15 06:00:00
82.36076,0.72,2020-08-15 07:00:00
81.34880000000001,0.5325,2020-08-15 08:00:00
80.39156,0.025,2020-08-15 09:00:00
80.0492,0.0225,2020-08-15 10:00:00
79.37780000000001,0.5525,2020-08-15 11:00:00
79.0304,0.88,2020-08-15 12:00:00
82.21405999999999,0.895,2020-08-15 13:00:00
87.24325999999999,0.91,2020-08-15 14:00:00
91.61186000000001,0.925,2020-08-15 15:00:00
96.24326,0.9125000000000001,2020-08-15 16:00:00
100.56146,0.915,2020-08-15 17:00:00
102.0506,0.8975,2020-08-15 18:00:00
103.96184,0.8674999999999999,2020-08-15 19:00:00
105.63944000000001,0.84,2020-08-15 20:00:00
